SignallingCost	40
DistanceToBestFriend	 	16	16	12	1	10	7	24	 	15	63	78	64	50	 	41	20	26	15	2	9	44	1	55	53	48	46	15	2	52	2	37	54	34	44	6	11	13	41	28	17	6	41	29	28	22	36	46	29	14	26	9	1	1	36	32	36	18	18	34	 	18	2	 	8	21	 	22	22	16	1	8	29	18	23	10	18	19	 	16	14	11	5	11	6	12	21	10	8	23	36	18	26	46	11	16	8	12	12	 
DistanceToBestFriend	 	3	 	59	70	 	 	28	22	39	60	5	27	 	54	13	 	 	42	39	73	5	66	71	74	12	 	31	42	32	7	41	22	59	54	49	 	5	47	3	14	7	15	 	19	4	2	27	 	1	40	26	16	6	 	25	21	3	22	6	20	10	13	20	2	4	28	14	17	2	14	20	5	22	5	 	16	26	6	5	 	5	16	20	14	3	10	12	3	 	6	5	16	2	19	 	5	 	16	14
DistanceToBestFriend	 	20	4	 	55	89	68	10	21	68	51	38	50	 	34	40	2	58	69	68	3	4	49	3	 	4	 	45	54	7	65	4	57	55	12	4	6	16	1	14	 	53	 	6	25	4	 	31	34	6	2	33	17	30	44	26	 	5	5	25	30	15	24	35	4	19	25	17	5	17	10	2	 	5	13	2	11	2	 	2	 	26	34	 	19	10	4	11	20	23	4	25	 	48	 	17	13	36	35	 
DistanceToBestFriend	 	34	 	36	15	3	49	4	91	43	29	1	30	6	 	1	 	1	78	3	40	52	15	11	42	15	40	39	66	25	48	48	6	11	4	11	36	2	4	50	59	5	6	55	2	 	2	46	24	4	18	 	15	2	 	 	 	36	 	15	10	21	10	6	 	 	4	11	29	3	 	1	10	11	4	19	18	9	 	 	3	 	1	3	 	1	9	1	31	13	26	 	6	4	18	 	 	4	6	 
DistanceToBestFriend	 	73	8	4	6	 	 	41	58	66	6	 	7	5	60	32	31	55	42	30	62	67	1	1	6	32	69	19	64	35	12	32	63	6	65	62	 	13	 	9	4	 	25	18	52	15	9	9	9	18	5	21	9	24	42	5	36	38	34	8	4	 	29	 	30	21	13	19	22	23	 	23	9	2	13	6	12	24	11	16	7	9	3	12	7	5	 	7	12	9	3	29	23	3	 	25	42	 	 	19
DistanceToBestFriend	 	 	8	49	10	13	 	15	62	 	61	 	66	60	 	4	77	38	 	4	10	71	25	13	47	14	22	22	62	61	61	29	 	36	18	58	21	 	44	41	3	33	5	50	7	1	1	27	26	5	37	40	47	42	5	40	10	29	6	6	11	 	18	 	11	 	9	18	31	 	18	11	3	 	4	11	25	10	4	25	13	17	25	28	15	12	13	 	9	35	25	40	3	13	11	40	29	1	1	47
DistanceToBestFriend	 	4	7	5	44	2	1	 	 	 	29	56	75	24	81	64	50	20	80	70	15	47	4	20	2	54	2	 	55	60	2	13	61	 	 	14	37	3	58	46	2	19	4	 	13	33	4	32	9	8	 	1	1	19	12	39	 	24	17	 	 	38	12	20	1	13	 	18	34	9	14	6	4	21	12	17	4	15	31	32	9	24	 	8	 	46	4	 	 	9	5	16	7	4	39	 	39	 	 	7
DistanceToBestFriend	 	7	1	39	7	8	8	 	51	90	36	20	37	 	36	20	12	6	62	67	76	1	47	5	45	 	30	42	5	40	2	 	13	14	5	 	4	 	12	 	54	42	34	8	 	50	44	21	39	44	47	43	27	2	35	2	 	10	14	27	19	25	28	9	18	32	3	10	21	 	24	17	21	5	 	 	20	 	5	9	1	1	7	 	8	10	27	9	9	7	28	16	8	21	43	10	9	47	2	6
DistanceToBestFriend	 	3	86	5	2	20	5	3	43	63	2	9	5	39	33	81	13	74	46	 	15	 	12	76	35	63	57	 	 	58	56	59	51	3	52	20	3	55	 	1	22	14	 	 	19	20	 	3	27	 	3	10	47	10	7	8	33	27	31	39	32	10	 	8	 	20	28	17	3	24	14	20	5	 	15	27	3	6	8	10	14	16	11	34	1	14	 	9	2	10	2	20	2	24	28	4	9	16	39	31
DistanceToBestFriend	 	3	12	52	14	84	4	79	10	43	 	2	42	39	21	 	77	65	78	71	30	4	61	15	62	12	68	 	50	35	57	10	19	19	60	43	19	52	25	39	15	14	10	41	54	19	37	 	1	1	3	4	10	41	26	4	11	5	8	11	 	10	5	25	12	9	 	7	11	17	10	10	 	7	7	 	 	21	16	11	26	10	8	 	 	27	 	18	10	7	3	10	22	31	3	12	 	3	21	13
DistanceToBestFriend	 	20	17	8	 	86	75	17	2	 	67	21	16	49	71	30	 	41	 	78	28	13	77	23	71	70	42	63	51	35	42	66	2	13	2	11	8	 	30	 	49	31	20	4	 	1	6	2	2	23	 	 	 	29	45	19	3	 	 	6	37	23	25	 	6	4	2	30	2	4	6	 	23	7	19	7	18	8	4	20	4	 	7	1	1	32	 	25	11	49	8	5	2	5	18	31	5	1	1	5
DistanceToBestFriend	 	8	32	1	8	79	11	30	 	30	8	7	11	 	 	47	78	69	75	54	6	36	 	59	71	19	17	44	43	20	8	52	1	1	30	21	39	7	 	39	48	33	1	50	6	1	1	27	40	15	6	22	13	1	41	 	 	2	26	 	8	 	2	 	9	13	13	4	16	 	27	 	26	9	 	 	15	19	9	4	15	 	6	4	9	8	13	11	48	1	1	15	6	9	12	 	19	23	6	25
DistanceToBestFriend	 	7	46	 	32	7	 	53	7	80	2	31	32	 	54	30	 	28	22	78	17	66	12	66	10	38	51	27	43	4	3	68	6	40	33	 	31	16	1	21	3	19	20	56	 	39	 	50	51	20	43	43	1	1	40	 	38	17	22	34	21	 	20	14	 	20	 	1	 	26	9	2	17	6	17	1	 	14	13	16	22	16	17	14	33	17	8	11	6	9	5	13	3	 	43	5	 	50	 	51
DistanceToBestFriend	 	24	8	8	9	13	3	7	 	 	9	7	61	6	 	71	22	16	 	58	59	50	57	12	25	20	58	68	56	57	34	19	48	47	 	55	5	45	5	9	54	11	3	3	47	3	44	2	 	2	 	35	11	35	43	37	16	 	3	17	22	25	5	 	 	20	33	5	 	18	15	8	9	2	18	 	16	 	 	1	1	19	22	 	38	10	25	9	35	6	5	2	31	26	54	5	9	 	21	36
DistanceToBestFriend	 	46	3	 	81	9	1	 	56	83	12	7	84	13	62	58	11	2	26	70	6	 	13	38	5	30	2	22	59	 	59	30	11	26	19	32	12	 	9	 	 	7	33	9	 	 	49	1	1	47	8	36	28	19	10	 	30	1	23	10	23	17	19	33	20	 	6	 	1	1	16	13	6	13	12	16	11	1	5	11	28	23	16	5	20	7	6	11	9	11	11	 	6	2	15	2	3	9	 	3
DistanceToBestFriend	 	5	50	3	22	1	7	6	21	34	 	28	 	34	52	58	75	25	16	 	71	 	48	33	52	66	8	62	49	38	4	8	5	64	4	61	49	5	1	58	 	6	39	19	19	 	51	6	 	26	20	2	37	 	42	42	 	5	26	16	5	6	24	13	15	 	21	 	16	30	25	11	 	3	16	16	3	21	19	15	16	39	11	14	16	 	10	21	26	37	 	16	17	6	26	25	16	42	 	30
DistanceToBestFriend	 	1	4	75	2	46	 	8	42	39	46	84	69	70	44	50	47	66	56	35	27	62	18	47	44	68	3	58	16	54	32	67	36	19	41	 	 	55	50	7	41	58	8	2	46	21	20	5	16	21	8	33	18	1	1	15	3	 	18	38	37	 	11	11	16	 	 	19	16	 	15	 	 	11	3	 	2	19	18	9	3	26	26	3	16	48	16	7	1	 	15	 	3	28	7	17	18	 	21	3
DistanceToBestFriend	 	4	11	8	31	6	 	 	 	80	73	 	50	28	1	1	65	 	41	49	76	17	 	46	45	44	44	39	 	1	21	64	25	30	26	12	34	28	2	51	9	17	39	 	2	5	14	27	8	12	 	19	11	 	14	21	37	 	34	10	14	8	34	11	12	24	4	10	20	12	 	7	18	11	18	4	21	24	7	7	7	1	11	2	 	2	 	 	4	24	 	8	 	24	7	2	 	 	 	8
DistanceToBestFriend	 	57	42	15	5	37	44	34	67	 	83	35	39	12	49	13	63	9	52	64	 	52	3	 	46	58	7	16	38	42	 	24	3	43	3	3	38	9	 	52	2	36	2	28	24	 	9	7	9	 	42	 	39	29	20	27	35	32	20	2	1	28	17	1	27	11	18	14	25	18	22	22	6	 	20	4	 	22	6	17	 	3	27	 	3	21	36	15	6	6	5	27	42	25	 	11	48	42	50	 
DistanceToBestFriend	 	24	16	1	74	12	75	31	39	55	41	80	22	52	62	43	 	21	 	77	53	49	4	 	15	36	4	 	60	41	67	13	1	 	2	29	 	60	24	46	 	20	16	42	13	42	 	12	14	 	10	19	12	11	38	40	8	23	27	17	19	15	14	32	8	19	2	3	2	 	25	5	19	23	14	7	17	5	13	20	24	22	5	8	 	27	 	6	4	16	2	8	4	9	8	25	23	60	11	20
DistanceToBestFriend	 	84	9	4	2	79	2	31	45	35	77	74	3	31	 	9	25	46	67	 	3	64	20	 	 	 	31	45	30	37	3	59	47	46	55	12	 	13	48	32	 	34	 	1	 	29	 	6	46	21	18	18	3	10	45	3	39	2	 	27	9	9	26	 	1	9	19	31	 	18	21	13	11	9	 	17	3	22	18	10	46	11	8	10	2	19	2	35	33	 	 	17	7	1	46	39	 	26	5	7
DistanceToBestFriend	 	3	14	11	 	68	47	4	50	75	 	83	21	67	36	47	 	15	75	16	18	35	23	24	74	10	31	8	8	25	14	46	43	61	36	24	 	1	1	39	29	11	18	 	14	 	32	 	21	3	 	37	 	2	24	25	26	39	3	27	13	3	33	 	33	15	20	9	16	 	5	 	27	 	5	 	1	1	17	2	16	2	1	10	16	5	27	1	9	1	1	 	 	10	2	17	16	9	12	9
DistanceToBestFriend	 	 	10	91	68	15	 	27	16	 	24	30	6	25	69	39	20	40	47	49	20	59	40	36	28	41	24	 	50	5	47	1	44	11	33	21	19	14	6	24	16	7	3	 	12	 	37	6	7	9	21	3	44	3	42	37	3	18	2	34	28	 	1	1	 	15	24	8	 	2	13	2	 	8	23	8	 	13	23	23	9	18	11	11	13	3	8	6	3	17	21	24	37	11	11	23	42	33	 	18
DistanceToBestFriend	 	7	12	6	1	65	5	2	50	48	61	83	49	78	43	8	70	 	25	79	78	48	7	72	 	43	49	18	64	7	51	15	42	56	59	45	13	12	50	35	14	40	 	 	6	8	49	52	9	12	48	42	27	32	1	1	38	9	 	37	6	21	6	 	3	8	14	30	22	10	 	17	2	12	4	14	17	11	16	27	4	28	 	5	11	32	16	9	17	9	 	38	1	1	16	11	37	30	9	20
DistanceToBestFriend	 	 	3	 	4	19	86	11	67	 	 	22	 	18	31	39	23	34	9	63	68	7	22	61	9	26	18	23	 	65	 	55	53	37	9	11	 	 	12	2	7	5	1	1	28	 	5	 	14	 	12	35	13	33	24	35	33	29	6	36	10	29	20	2	18	7	28	6	6	18	10	24	14	6	23	20	10	21	15	16	11	10	18	11	12	 	 	6	33	 	35	10	24	15	 	36	28	1	 	43
DistanceToBestFriend	 	2	30	4	8	85	5	7	79	56	46	2	84	66	 	83	65	30	7	 	52	 	 	20	18	16	2	72	59	18	68	49	54	18	9	8	62	1	37	 	15	 	38	 	10	39	5	44	36	46	 	46	40	28	19	40	29	27	 	5	 	8	 	25	 	12	3	3	25	3	6	18	10	11	13	11	3	8	4	 	 	23	33	 	11	2	11	 	1	41	13	2	21	 	4	46	 	15	4	5
DistanceToBestFriend	 	 	23	27	54	55	7	40	11	 	12	11	9	68	12	 	5	80	41	35	39	48	 	62	1	12	6	 	31	59	24	1	1	13	 	8	2	10	1	6	30	21	7	1	1	3	9	40	3	29	 	29	28	9	26	 	41	17	3	7	12	 	15	1	27	26	3	6	 	3	4	9	12	 	17	16	21	15	29	8	28	 	8	7	16	2	14	2	 	24	3	26	1	3	 	23	8	41	38	22
