SignalInvestment	15.165	1.157	0.275	0.221	 	3.624	0.288	0.675	0.073	1.812	3.778	5.134	6.716	9.078	 	18.082	17.692	29.850	27.991	 	 	44.160	53.069	58.182	65.621	 	44.353	45.668	43.685	48.494	 	 	77.638	80.192	81.640	82.887	80.911	77.360	 	71.362	82.097	70.727	85.521	90.891	95.558	93.447	 	 	81.716	71.210	 	99.666	98.498	92.478	93.516	 	94.044	95.092	94.378	 	94.198	87.349	88.050	87.530	92.810	87.921	78.721	74.704	72.906	82.437	87.122	81.703	75.832	80.942	78.481	65.377	67.253	78.645	80.414	76.245	68.913	78.755	75.873	78.837	 	81.607	 	75.127	77.142	74.475	 	73.181	77.033	75.608	71.717	73.705	71.977	75.315	69.310	62.686
SignalInvestment	1.194	1.770	0.240	0.051	0.375	0.233	0.331	3.319	0.888	5.453	65.600	 	31.237	 	30.121	32.024	35.340	 	40.139	 	39.578	 	 	60.018	57.193	49.994	51.648	25.163	37.317	40.955	49.089	56.836	74.876	76.862	72.961	69.490	72.967	67.621	73.042	68.700	65.993	58.727	 	79.733	84.143	82.172	 	95.462	88.036	93.602	90.610	97.439	93.640	90.746	94.989	93.327	96.322	87.830	88.570	95.712	94.510	85.422	 	87.028	84.816	91.198	90.532	 	88.070	80.843	81.299	83.609	78.205	 	84.478	 	82.623	81.619	82.128	 	85.534	90.804	85.062	80.586	70.816	 	78.632	76.914	74.586	70.762	67.743	70.333	 	63.908	62.125	64.666	 	72.589	80.333	94.058
SignalInvestment	 	1.972	 	 	30.399	 	1.869	0.516	1.583	15.045	18.132	4.738	10.542	10.895	28.723	28.423	33.753	75.973	 	53.672	54.329	60.593	 	48.187	50.514	43.904	42.240	46.547	53.189	63.492	65.230	73.346	 	 	72.201	71.779	70.815	74.206	56.279	46.439	47.786	45.491	40.190	 	68.839	69.373	83.129	88.622	91.768	90.900	92.322	 	98.245	98.294	95.809	98.269	90.094	87.166	98.369	90.909	92.708	91.333	89.363	89.998	86.916	92.678	92.094	85.783	86.309	84.596	84.276	87.500	83.785	82.440	79.545	75.254	64.885	66.981	69.464	73.943	82.574	78.996	 	77.245	74.220	76.552	77.522	76.960	79.611	84.446	83.736	86.888	88.043	79.356	73.836	77.035	72.538	 	76.843	75.156
SignalInvestment	1.518	3.154	2.009	0.189	0.231	2.756	4.311	4.259	7.191	13.854	14.765	20.990	 	9.438	 	29.391	31.009	 	39.650	35.814	30.769	37.273	40.179	39.025	48.994	50.983	 	36.498	37.932	45.803	54.874	70.402	85.889	86.618	92.472	92.538	72.277	50.243	49.403	75.483	82.991	88.759	86.658	 	59.852	66.291	58.601	55.963	52.796	62.933	64.732	 	50.689	58.981	65.587	58.894	 	80.600	85.265	79.047	77.118	79.502	84.389	 	91.061	85.275	83.118	 	78.877	90.999	81.022	83.813	83.620	 	77.431	80.354	 	72.654	80.669	78.975	 	79.061	70.142	75.856	72.844	54.732	54.384	 	72.247	72.499	71.704	68.439	 	73.516	79.799	 	81.248	78.283	72.648	74.273
SignalInvestment	0.012	 	0.966	1.151	0.163	0.292	 	6.777	7.790	15.330	25.962	29.766	66.011	30.596	19.045	19.406	18.699	29.635	32.438	64.829	82.436	89.783	84.056	76.919	64.495	47.687	44.963	64.179	61.797	75.490	71.986	 	 	93.521	86.410	 	80.176	78.154	78.542	84.424	81.537	81.609	 	88.008	78.835	 	87.878	 	77.509	75.858	 	82.463	 	84.667	80.220	71.729	84.592	87.147	93.316	81.939	86.473	 	84.930	94.865	97.618	85.987	79.629	82.545	77.754	74.088	84.512	86.161	76.938	81.759	88.642	72.206	66.077	68.876	64.537	72.643	69.848	 	 	74.968	63.255	51.132	56.235	53.158	53.883	62.489	73.619	74.031	76.847	76.298	72.819	62.464	69.078	57.505	62.408	72.383
SignalInvestment	1.082	0.501	7.424	 	7.066	1.502	4.768	4.448	0.700	0.374	 	0.116	 	20.753	24.160	 	27.813	23.668	20.414	10.392	 	57.315	55.558	58.384	54.573	44.104	42.722	43.299	51.483	49.007	 	78.024	71.958	 	78.017	83.726	77.874	81.422	73.955	69.800	77.293	76.408	73.099	81.333	 	 	90.794	93.583	95.147	82.295	93.172	94.789	88.061	98.490	99.626	93.702	94.708	96.494	92.094	89.184	88.877	86.781	93.078	87.824	 	 	 	89.349	91.004	82.405	 	 	89.153	85.427	78.400	83.413	82.106	77.560	78.984	 	70.163	68.636	69.809	 	94.225	 	80.542	72.648	70.200	69.151	74.571	78.078	74.722	 	66.031	68.584	66.827	66.629	64.595	 
SignalInvestment	5.887	7.665	5.665	1.574	1.273	0.130	 	0.557	1.709	1.492	 	6.382	 	30.575	32.933	31.634	35.381	42.257	35.493	37.277	 	51.177	56.339	49.539	52.673	51.337	49.978	58.410	55.965	 	 	77.923	 	82.601	 	90.163	87.937	 	65.052	38.679	71.849	81.001	82.308	65.570	32.912	61.356	61.137	67.350	75.137	79.913	 	66.532	66.462	74.787	 	94.339	93.084	86.133	85.238	 	86.710	92.960	88.145	87.632	87.232	80.973	84.966	79.264	75.729	84.589	83.100	91.035	84.440	 	85.791	85.105	82.881	78.843	 	81.696	 	75.573	78.641	77.864	77.225	 	72.671	72.596	80.411	79.272	76.609	74.143	79.794	60.081	68.418	74.364	68.392	73.206	80.573	64.504
SignalInvestment	2.734	0.202	3.493	 	27.319	30.089	21.831	17.098	 	14.177	7.981	9.177	 	1.693	 	 	17.477	19.514	38.956	45.138	56.193	62.142	69.225	83.705	84.901	 	80.844	79.125	73.830	74.020	82.727	76.905	78.403	74.488	77.481	80.446	83.840	87.116	73.265	75.959	83.658	79.406	 	78.893	80.108	82.402	76.334	76.787	 	74.574	79.051	82.703	25.352	 	79.848	86.446	79.761	83.586	77.500	 	 	77.942	86.939	90.039	86.828	85.138	77.234	76.870	78.499	82.906	80.850	79.935	 	84.561	86.224	69.622	67.501	70.915	88.189	72.615	75.932	71.564	75.536	83.872	83.363	71.901	46.283	63.766	65.533	66.763	60.431	64.410	64.472	63.412	60.102	65.804	69.298	63.957	62.617	 
SignalInvestment	 	0.045	 	0.225	 	1.447	 	1.725	 	 	10.504	10.632	 	32.234	33.376	32.692	34.600	39.236	36.902	45.891	45.940	35.422	33.867	53.018	53.487	51.488	52.470	 	 	81.765	68.812	58.597	57.918	52.568	44.701	59.453	65.581	73.911	76.055	74.632	 	76.214	81.533	71.248	56.630	41.582	54.549	 	65.179	74.052	92.785	95.624	94.897	93.734	 	90.650	94.681	94.507	90.594	78.768	87.621	89.464	77.886	78.656	77.961	85.803	88.203	83.143	83.249	81.762	82.592	 	 	79.112	77.148	81.374	77.739	85.495	84.241	84.321	78.364	 	77.979	78.267	73.730	 	86.070	 	69.901	68.518	71.729	75.426	70.138	74.453	69.669	 	 	73.816	67.488	69.770
SignalInvestment	0.044	 	0.468	0.424	4.151	1.210	12.869	25.681	29.626	19.570	25.128	17.412	15.464	23.991	35.293	35.581	47.414	28.945	25.617	33.794	40.134	 	36.117	31.225	36.596	43.667	 	86.269	70.009	74.868	83.162	 	 	78.690	74.818	79.814	 	66.812	71.990	 	73.242	72.608	74.849	70.382	62.325	68.011	 	46.583	44.154	50.961	84.757	85.639	82.963	81.710	78.238	80.881	 	83.498	85.475	 	85.884	89.020	82.528	86.998	81.515	92.377	82.843	90.462	89.651	85.129	77.861	75.190	81.164	 	77.703	80.793	77.815	76.970	 	76.140	78.429	75.035	82.866	75.516	75.698	63.328	49.716	47.896	47.617	47.268	56.482	64.682	 	61.888	60.836	 	73.034	78.640	67.446	64.880
