Year;Food
177;51.0
177;51.0
177;51.0
178;52.0
178;52.0
178;52.0
179;52.0
179;52.0
179;52.0
180;52.0
180;53.0
180;53.0
181;53.0
181;53.0
181;53.0
182;53.0
182;53.0
182;53.0
183;53.0
183;53.0
183;53.0
184;53.0
184;53.0
184;53.0
185;53.0
185;53.0
185;53.0
186;53.0
186;54.0
186;55.0
187;55.0
187;55.0
187;55.0
188;56.0
188;56.0
188;56.0
189;56.0
189;56.0
189;56.0
190;56.0
190;56.0
190;56.0
191;56.0
191;57.0
191;57.0
192;57.0
192;57.0
192;58.0
193;58.0
193;58.0
193;59.0
194;59.0
194;59.0
194;60.0
195;60.0
195;60.0
195;60.0
196;60.0
196;60.0
196;60.0
197;60.0
197;60.0
197;61.0
198;61.0
198;61.0
198;61.0
199;63.0
199;63.0
199;63.0
200;63.0
200;63.0
200;64.0
201;64.0
201;64.0
201;64.0
202;64.0
202;64.0
202;64.0
203;64.0
203;64.0
203;64.0
204;64.0
204;64.0
204;64.0
205;64.0
205;64.0
205;64.0
206;64.0
206;64.0
206;64.0
207;64.0
207;64.0
207;64.0
208;64.0
208;64.0
208;64.0
209;64.0
209;64.0
209;64.0
210;64.0
210;64.0
210;64.0
211;64.0
211;65.0
211;65.0
212;65.0
212;65.0
212;65.0
213;65.0
213;65.0
213;65.0
214;65.0
214;65.0
214;65.0
215;65.0
215;65.0
215;65.0
216;65.0
216;65.0
216;65.0
217;65.0
217;65.0
217;65.0
218;65.0
218;65.0
218;65.0
219;65.0
219;65.0
219;65.0
220;65.0
220;65.0
220;65.0
221;65.0
221;65.0
221;65.0
222;65.0
222;65.0
222;65.0
223;65.0
223;65.0
223;65.0
224;65.0
224;65.0
224;65.0
225;65.0
225;65.0
225;65.0
226;65.0
226;65.0
226;65.0
227;65.0
227;65.0
227;65.0
228;65.0
228;65.0
228;65.0
229;65.0
229;65.0
229;65.0
230;65.0
230;65.0
230;65.0
231;65.0
231;65.0
231;65.0
232;65.0
232;65.0
232;65.0
233;65.0
233;65.0
233;65.0
234;65.0
234;66.0
234;66.0
235;66.0
235;66.0
235;66.0
236;66.0
236;66.0
236;66.0
237;66.0
237;66.0
237;66.0
238;66.0
238;66.0
238;66.0
239;66.0
239;68.0
239;68.0
240;68.0
240;68.0
240;69.0
241;69.0
241;69.0
241;69.0
242;69.0
242;69.0
242;69.0
243;69.0
243;69.0
243;69.0
244;69.0
244;69.0
244;69.0
245;70.0
245;70.0
245;70.0
246;70.0
246;70.0
246;71.0
247;71.0
247;71.0
247;72.0
248;73.0
248;73.0
248;73.0
249;73.0
249;73.0
249;73.0
250;73.0
250;73.0
250;73.0
251;73.0
251;73.0
251;73.0
252;74.0
252;74.0
252;74.0
253;74.0
253;74.0
253;75.0
254;75.0
254;76.0
254;76.0
255;76.0
255;76.0
255;76.0
256;76.0
256;76.0
256;76.0
257;76.0
257;76.0
257;76.0
258;76.0
258;76.0
258;76.0
259;76.0
259;76.0
259;76.0
260;76.0
260;76.0
260;76.0
261;76.0
261;76.0
261;76.0
262;76.0
262;76.0
262;76.0
263;76.0
263;76.0
263;76.0
264;76.0
264;76.0
264;76.0
265;76.0
265;76.0
265;76.0
266;76.0
266;76.0
266;77.0
267;77.0
267;77.0
267;77.0
268;77.0
268;77.0
268;77.0
269;78.0
269;78.0
269;78.0
270;78.0
270;78.0
270;79.0
271;80.0
271;80.0
271;80.0
272;80.0
272;81.0
272;81.0
273;81.0
273;81.0
273;81.0
274;81.0
274;81.0
274;81.0
275;81.0
275;82.0
275;82.0
276;82.0
276;82.0
276;82.0
277;82.0
277;82.0
277;82.0
278;82.0
278;82.0
278;82.0
279;82.0
279;82.0
279;82.0
280;82.0
280;82.0
280;82.0
281;82.0
281;82.0
281;82.0
282;82.0
282;82.0
282;82.0
283;82.0
283;82.0
283;82.0
284;82.0
284;82.0
284;83.0
285;83.0
285;83.0
285;83.0
286;83.0
286;83.0
286;83.0
287;83.0
287;83.0
287;83.0
288;83.0
288;83.0
288;83.0
289;83.0
289;83.0
289;83.0
290;83.0
290;83.0
290;83.0
291;83.0
291;83.0
291;84.0
292;84.0
292;86.0
292;86.0
293;86.0
293;86.0
293;86.0
294;86.0
294;86.0
294;86.0
295;86.0
295;87.0
295;87.0
296;87.0
296;87.0
296;87.0
297;87.0
297;87.0
297;87.0
298;87.0
298;87.0
298;87.0
299;87.0
299;87.0
299;87.0
300;87.0
300;87.0
300;87.0
301;88.0
301;88.0
301;88.0
302;89.0
302;89.0
302;89.0
303;89.0
303;90.0
303;90.0
304;90.0
304;90.0
304;90.0
305;90.0
305;90.0
305;90.0
306;90.0
306;90.0
306;90.0
307;90.0
307;90.0
307;90.0
308;91.0
308;91.0
308;91.0
309;91.0
309;91.0
309;92.0
310;92.0
310;92.0
310;92.0
311;92.0
311;92.0
311;92.0
312;93.0
312;93.0
312;93.0
313;93.0
313;93.0
313;93.0
314;93.0
314;93.0
314;93.0
315;93.0
315;93.0
315;93.0
316;93.0
316;93.0
316;93.0
317;93.0
317;94.0
317;94.0
318;94.0
318;94.0
318;94.0
319;94.0
319;94.0
319;94.0
320;94.0
320;94.0
320;94.0
321;94.0
321;94.0
321;94.0
322;94.0
322;94.0
322;94.0
323;94.0
323;94.0
323;94.0
324;94.0
324;94.0
324;94.0
325;94.0
325;94.0
325;94.0
326;94.0
326;94.0
326;94.0
327;94.0
327;95.0
327;95.0
328;95.0
328;95.0
328;95.0
329;95.0
329;95.0
329;95.0
330;95.0
330;95.0
330;95.0
331;95.0
331;95.0
331;95.0
332;95.0
332;95.0
332;95.0
333;95.0
333;95.0
333;95.0
334;95.0
334;95.0
334;95.0
335;95.0
335;95.0
335;95.0
336;95.0
336;95.0
336;95.0
337;95.0
337;95.0
337;95.0
338;95.0
338;95.0
338;95.0
339;95.0
339;95.0
339;95.0
340;95.0
340;95.0
340;95.0
341;95.0
341;95.0
341;95.0
342;95.0
342;95.0
342;95.0
343;95.0
343;95.0
343;95.0
344;95.0
344;95.0
344;95.0
345;95.0
345;95.0
345;96.0
346;96.0
346;96.0
346;96.0
347;96.0
347;96.0
347;96.0
348;96.0
348;96.0
348;96.0
349;96.0
349;96.0
349;96.0
350;96.0
350;96.0
350;96.0
351;96.0
351;96.0
351;96.0
352;96.0
352;96.0
352;96.0
353;96.0
353;96.0
353;96.0
354;96.0
354;96.0
354;97.0
355;97.0
355;97.0
355;97.0
356;97.0
356;97.0
356;97.0
357;97.0
357;97.0
357;97.0
358;97.0
358;97.0
358;97.0
359;97.0
359;97.0
359;97.0
360;97.0
360;97.0
360;97.0
361;97.0
361;97.0
361;97.0
362;98.0
362;98.0
362;98.0
363;98.0
363;98.0
363;98.0
364;98.0
364;98.0
364;98.0
365;98.0
365;98.0
365;98.0
366;98.0
366;98.0
366;98.0
367;98.0
367;98.0
367;98.0
368;98.0
368;98.0
368;99.0
369;99.0
369;99.0
369;100.0
370;100.0
370;100.0
370;100.0
371;100.0
371;100.0
371;100.0
372;100.0
372;100.0
372;100.0
373;100.0
373;100.0
373;100.0
374;100.0
374;100.0
374;100.0
375;100.0
375;100.0
375;100.0
376;100.0
376;100.0
376;100.0
377;100.0
377;100.0
377;100.0
378;100.0
378;100.0
378;100.0
379;100.0
379;100.0
379;100.0
380;100.0
380;100.0
380;102.0
381;102.0
381;102.0
381;102.0
382;102.0
382;102.0
382;102.0
383;102.0
383;102.0
383;102.0
384;102.0
384;102.0
384;102.0
385;102.0
385;102.0
385;102.0
386;103.0
386;103.0
386;103.0
387;103.0
387;103.0
387;103.0
388;103.0
388;103.0
388;103.0
389;103.0
389;103.0
389;103.0
390;103.0
390;103.0
390;103.0
391;103.0
391;103.0
391;103.0
392;103.0
392;103.0
392;103.0
393;103.0
393;103.0
393;103.0
394;103.0
394;103.0
394;103.0
395;103.0
395;103.0
395;103.0
396;103.0
396;103.0
396;103.0
397;103.0
397;103.0
397;103.0
398;103.0
398;103.0
398;103.0
399;103.0
399;103.0
399;104.0
400;104.0
400;105.0
400;105.0
401;105.0
401;105.0
401;105.0
402;105.0
402;105.0
402;105.0
403;105.0
403;105.0
403;105.0
404;105.0
404;105.0
404;105.0
405;105.0
405;105.0
405;105.0
406;105.0
406;105.0
406;105.0
407;105.0
407;105.0
407;105.0
408;105.0
408;105.0
408;105.0
409;105.0
409;105.0
409;106.0
410;106.0
410;106.0
410;106.0
411;106.0
411;106.0
411;106.0
412;106.0
412;107.0
412;107.0
413;107.0
413;107.0
413;107.0
414;107.0
414;108.0
414;108.0
415;108.0
415;108.0
415;109.0
416;110.0
416;110.0
416;111.0
417;111.0
417;111.0
417;111.0
418;111.0
418;111.0
418;111.0
419;111.0
419;111.0
419;111.0
420;111.0
420;111.0
420;111.0
421;111.0
421;111.0
421;111.0
422;111.0
422;111.0
422;111.0
423;111.0
423;111.0
423;111.0
424;111.0
424;111.0
424;111.0
425;112.0
425;112.0
425;112.0
426;112.0
426;112.0
426;112.0
427;113.0
427;113.0
427;113.0
428;113.0
428;113.0
428;113.0
429;113.0
429;113.0
429;113.0
430;113.0
430;113.0
430;113.0
431;113.0
431;113.0
431;113.0
432;113.0
432;113.0
432;113.0
433;113.0
433;114.0
433;114.0
434;114.0
434;114.0
434;114.0
435;114.0
435;114.0
435;114.0
436;114.0
436;114.0
436;114.0
437;114.0
437;114.0
437;114.0
438;114.0
438;114.0
438;114.0
439;114.0
439;114.0
439;114.0
440;114.0
440;114.0
440;114.0
441;114.0
441;114.0
441;114.0
442;114.0
442;114.0
442;114.0
443;114.0
443;114.0
443;114.0
444;115.0
444;115.0
444;115.0
445;115.0
445;115.0
445;115.0
446;115.0
446;115.0
446;115.0
447;115.0
447;115.0
447;116.0
448;116.0
448;116.0
448;116.0
449;116.0
449;116.0
449;116.0
450;116.0
450;116.0
450;116.0
451;116.0
451;116.0
451;116.0
452;116.0
452;116.0
452;116.0
453;116.0
453;117.0
453;117.0
454;117.0
454;117.0
454;118.0
455;118.0
455;118.0
455;118.0
456;118.0
456;118.0
456;118.0
457;118.0
457;118.0
457;118.0
458;118.0
458;118.0
458;118.0
459;118.0
459;118.0
459;119.0
460;119.0
460;119.0
460;119.0
461;119.0
461;120.0
461;120.0
462;120.0
462;120.0
462;120.0
463;120.0
463;120.0
463;120.0
464;120.0
464;120.0
464;120.0
465;120.0
465;121.0
465;121.0
466;122.0
466;123.0
466;123.0
467;123.0
467;123.0
467;123.0
468;123.0
468;123.0
468;123.0
469;123.0
469;124.0
469;124.0
470;124.0
470;124.0
470;124.0
471;124.0
471;124.0
471;124.0
472;124.0
472;124.0
472;124.0
473;124.0
473;124.0
473;125.0
474;125.0
474;125.0
474;125.0
475;125.0
475;125.0
475;125.0
476;125.0
476;125.0
476;125.0
477;125.0
477;125.0
477;125.0
478;125.0
478;125.0
478;125.0
479;125.0
479;125.0
479;126.0
480;126.0
480;126.0
480;126.0
481;127.0
481;127.0
481;127.0
482;127.0
482;127.0
482;127.0
483;127.0
483;127.0
483;127.0
484;127.0
484;127.0
484;127.0
485;127.0
485;127.0
485;127.0
486;127.0
486;127.0
486;127.0
487;127.0
487;127.0
487;127.0
488;128.0
488;128.0
488;129.0
489;129.0
489;129.0
489;130.0
490;130.0
490;130.0
490;130.0
491;130.0
491;130.0
491;130.0
492;130.0
492;130.0
492;130.0
493;130.0
493;130.0
493;130.0
494;131.0
494;131.0
494;131.0
495;131.0
495;131.0
495;131.0
496;131.0
496;131.0
496;131.0
497;132.0
497;132.0
497;133.0
498;133.0
498;133.0
498;133.0
499;133.0
499;134.0
499;135.0
500;135.0
500;135.0
500;135.0
501;135.0
501;136.0
501;136.0
502;136.0
502;136.0
502;136.0
503;136.0
503;136.0
503;136.0
504;136.0
504;136.0
504;136.0
505;138.0
505;138.0
505;139.0
506;139.0
506;140.0
506;140.0
507;140.0
507;140.0
507;141.0
508;141.0
508;142.0
508;142.0
509;142.0
509;142.0
509;142.0
510;142.0
510;142.0
510;143.0
511;143.0
511;143.0
511;143.0
512;143.0
512;143.0
512;143.0
513;144.0
513;144.0
513;144.0
514;144.0
514;144.0
514;144.0
515;144.0
515;144.0
515;144.0
516;144.0
516;144.0
516;144.0
517;144.0
517;144.0
517;144.0
518;144.0
518;145.0
518;145.0
519;145.0
519;145.0
519;145.0
520;145.0
520;145.0
520;146.0
521;146.0
521;146.0
521;146.0
522;146.0
522;146.0
522;146.0
523;146.0
523;146.0
523;147.0
524;147.0
524;147.0
524;147.0
525;147.0
525;147.0
525;147.0
526;147.0
526;147.0
526;147.0
527;147.0
527;147.0
527;147.0
528;147.0
528;147.0
528;147.0
529;147.0
529;147.0
529;147.0
530;147.0
530;147.0
530;147.0
531;147.0
531;147.0
531;147.0
532;147.0
532;147.0
532;147.0
533;147.0
533;147.0
533;147.0
534;147.0
534;147.0
534;148.0
535;149.0
535;149.0
535;149.0
536;149.0
536;149.0
536;150.0
537;150.0
537;150.0
537;150.0
538;151.0
538;151.0
538;151.0
539;151.0
539;151.0
539;151.0
540;151.0
540;151.0
540;151.0
541;151.0
541;151.0
541;151.0
542;151.0
542;151.0
542;151.0
543;151.0
543;151.0
543;151.0
544;151.0
544;151.0
544;151.0
545;151.0
545;152.0
545;152.0
546;152.0
546;152.0
546;153.0
547;153.0
547;153.0
547;153.0
548;153.0
548;153.0
548;153.0
549;153.0
549;153.0
549;153.0
550;153.0
550;153.0
550;153.0
551;153.0
551;153.0
551;153.0
552;154.0
552;154.0
552;154.0
553;155.0
553;155.0
553;155.0
554;155.0
554;156.0
554;157.0
555;157.0
555;157.0
555;157.0
556;158.0
556;159.0
556;160.0
557;160.0
557;160.0
557;160.0
558;160.0
558;160.0
558;160.0
559;160.0
559;160.0
559;161.0
560;161.0
560;161.0
560;161.0
561;162.0
561;162.0
561;162.0
562;163.0
562;163.0
562;164.0
563;165.0
563;165.0
563;165.0
564;166.0
564;167.0
564;167.0
565;168.0
565;168.0
565;169.0
566;170.0
566;170.0
566;171.0
567;172.0
567;172.0
567;172.0
568;172.0
568;172.0
568;172.0
569;172.0
569;172.0
569;172.0
570;172.0
570;172.0
570;172.0
571;172.0
571;172.0
571;172.0
572;172.0
572;172.0
572;172.0
573;172.0
573;172.0
573;172.0
574;173.0
574;173.0
574;173.0
575;173.0
575;173.0
575;173.0
576;175.0
576;175.0
576;176.0
577;177.0
577;177.0
577;178.0
578;178.0
578;179.0
578;179.0
579;179.0
579;179.0
579;179.0
580;179.0
580;179.0
580;179.0
581;179.0
581;179.0
581;179.0
582;179.0
582;179.0
582;179.0
583;179.0
583;179.0
583;179.0
584;179.0
584;179.0
584;179.0
585;179.0
585;179.0
585;179.0
586;179.0
586;179.0
586;179.0
587;179.0
587;179.0
587;179.0
588;179.0
588;179.0
588;179.0
589;179.0
589;179.0
589;179.0
590;179.0
590;179.0
590;179.0
591;179.0
591;179.0
591;179.0
592;179.0
592;179.0
592;179.0
593;179.0
593;179.0
593;179.0
594;179.0
594;179.0
594;179.0
595;179.0
595;179.0
595;179.0
596;179.0
596;179.0
596;179.0
597;179.0
597;179.0
597;179.0
598;179.0
598;179.0
598;179.0
599;179.0
599;180.0
599;180.0
600;180.0
600;180.0
600;180.0
601;180.0
601;180.0
601;180.0
602;180.0
602;180.0
602;180.0
603;180.0
603;180.0
603;180.0
604;180.0
604;180.0
604;180.0
605;180.0
605;180.0
605;180.0
606;180.0
606;180.0
606;180.0
607;180.0
607;180.0
607;180.0
608;180.0
608;180.0
608;180.0
609;180.0
609;180.0
609;180.0
610;180.0
610;180.0
610;180.0
611;180.0
611;180.0
611;180.0
612;180.0
612;180.0
612;180.0
613;180.0
613;180.0
613;180.0
614;180.0
614;180.0
614;180.0
615;180.0
615;180.0
615;180.0
616;180.0
616;180.0
616;180.0
617;180.0
617;180.0
617;180.0
618;180.0
618;180.0
618;180.0
619;180.0
619;180.0
619;180.0
620;180.0
620;180.0
620;180.0
621;180.0
621;180.0
621;180.0
622;180.0
622;180.0
622;180.0
623;180.0
623;180.0
623;180.0
624;180.0
624;180.0
624;180.0
625;180.0
625;181.0
625;181.0
626;181.0
626;181.0
626;181.0
627;182.0
627;182.0
627;182.0
628;182.0
628;182.0
628;182.0
629;182.0
629;182.0
629;182.0
630;182.0
630;182.0
630;183.0
631;183.0
631;183.0
631;183.0
632;183.0
632;183.0
632;184.0
633;184.0
633;184.0
633;184.0
634;184.0
634;185.0
634;185.0
635;185.0
635;185.0
635;185.0
636;185.0
636;185.0
636;185.0
637;185.0
637;185.0
637;185.0
638;185.0
638;185.0
638;185.0
639;185.0
639;185.0
639;185.0
640;185.0
640;185.0
640;185.0
641;185.0
641;185.0
641;185.0
642;185.0
642;185.0
642;185.0
643;185.0
643;185.0
643;185.0
644;185.0
644;185.0
644;185.0
645;185.0
645;185.0
645;185.0
646;185.0
646;185.0
646;185.0
647;185.0
647;185.0
647;185.0
648;185.0
648;185.0
648;185.0
649;185.0
649;185.0
649;185.0
650;185.0
650;185.0
650;185.0
651;185.0
651;185.0
651;185.0
652;185.0
652;185.0
652;186.0
653;186.0
653;186.0
653;186.0
654;186.0
654;186.0
654;186.0
655;186.0
655;186.0
655;186.0
656;186.0
656;186.0
656;186.0
657;186.0
657;186.0
657;186.0
658;186.0
658;186.0
658;186.0
659;186.0
659;186.0
659;186.0
660;186.0
660;186.0
660;186.0
661;186.0
661;186.0
661;186.0
662;186.0
662;186.0
662;186.0
663;186.0
663;186.0
663;186.0
664;186.0
664;186.0
664;186.0
665;186.0
665;186.0
665;186.0
666;186.0
666;186.0
666;186.0
667;186.0
667;186.0
667;186.0
668;186.0
668;186.0
668;186.0
669;186.0
669;186.0
669;186.0
670;186.0
670;186.0
670;186.0
671;187.0
671;187.0
671;187.0
672;187.0
672;187.0
672;187.0
673;187.0
673;187.0
673;187.0
674;187.0
674;187.0
674;187.0
675;188.0
675;189.0
675;189.0
676;189.0
676;189.0
676;189.0
677;190.0
677;190.0
677;190.0
678;190.0
678;190.0
678;190.0
679;190.0
679;190.0
679;191.0
680;191.0
680;191.0
680;191.0
681;191.0
681;191.0
681;191.0
682;191.0
682;191.0
682;191.0
683;191.0
683;191.0
683;191.0
684;191.0
684;191.0
684;192.0
685;192.0
685;192.0
685;192.0
686;192.0
686;192.0
686;192.0
687;192.0
687;192.0
687;192.0
688;192.0
688;192.0
688;192.0
689;192.0
689;192.0
689;192.0
690;192.0
690;192.0
690;192.0
691;192.0
691;192.0
691;192.0
692;192.0
692;192.0
692;192.0
693;192.0
693;192.0
693;192.0
694;192.0
694;192.0
694;192.0
695;192.0
695;192.0
695;192.0
696;192.0
696;192.0
696;192.0
697;192.0
697;192.0
697;192.0
698;192.0
698;192.0
698;192.0
699;192.0
699;192.0
699;193.0
700;193.0
700;193.0
700;194.0
701;195.0
701;195.0
701;195.0
702;195.0
702;195.0
702;195.0
703;195.0
703;195.0
703;195.0
704;195.0
704;195.0
704;195.0
705;195.0
705;195.0
705;195.0
706;195.0
706;195.0
706;195.0
707;196.0
707;196.0
707;196.0
708;196.0
708;196.0
708;196.0
709;196.0
709;196.0
709;196.0
710;196.0
710;196.0
710;196.0
711;196.0
711;196.0
711;196.0
712;196.0
712;196.0
712;196.0
713;196.0
713;196.0
713;196.0
714;196.0
714;196.0
714;196.0
715;196.0
715;196.0
715;196.0
716;196.0
716;196.0
716;196.0
717;196.0
717;196.0
717;196.0
718;196.0
718;196.0
718;196.0
719;196.0
719;196.0
719;196.0
720;196.0
720;196.0
720;196.0
721;196.0
721;196.0
721;196.0
722;196.0
722;196.0
722;196.0
723;196.0
723;196.0
723;196.0
724;196.0
724;196.0
724;196.0
725;196.0
725;196.0
725;196.0
726;196.0
726;196.0
726;196.0
727;196.0
727;196.0
727;196.0
728;196.0
728;196.0
728;196.0
729;196.0
729;197.0
729;197.0
730;197.0
730;197.0
730;197.0
731;197.0
731;197.0
731;198.0
732;198.0
732;198.0
732;199.0
733;199.0
733;199.0
733;199.0
734;199.0
734;199.0
734;199.0
735;199.0
735;199.0
735;199.0
736;199.0
736;199.0
736;199.0
737;199.0
737;199.0
737;200.0
738;200.0
738;200.0
738;200.0
739;200.0
739;200.0
739;200.0
740;200.0
740;200.0
740;200.0
741;200.0
741;200.0
741;200.0
742;200.0
742;200.0
742;200.0
743;200.0
743;200.0
743;200.0
744;200.0
744;200.0
744;200.0
745;200.0
745;200.0
745;200.0
746;200.0
746;200.0
746;200.0
747;200.0
747;200.0
747;200.0
748;200.0
748;200.0
748;200.0
749;200.0
749;200.0
749;200.0
750;200.0
750;200.0
750;200.0
751;200.0
751;200.0
751;200.0
752;200.0
752;200.0
752;200.0
753;200.0
753;200.0
753;200.0
754;200.0
754;200.0
754;200.0
755;200.0
755;200.0
755;200.0
756;200.0
756;200.0
756;200.0
757;200.0
757;200.0
757;200.0
758;200.0
758;200.0
758;200.0
759;200.0
759;200.0
759;200.0
760;200.0
760;200.0
760;200.0
761;200.0
761;200.0
761;200.0
762;200.0
762;200.0
762;200.0
763;200.0
763;200.0
763;200.0
764;200.0
764;200.0
764;200.0
765;200.0
765;200.0
765;200.0
766;200.0
766;201.0
766;201.0
767;201.0
767;201.0
767;201.0
768;201.0
768;202.0
768;203.0
769;203.0
769;203.0
769;203.0
770;203.0
770;203.0
770;203.0
771;203.0
771;204.0
771;204.0
772;204.0
772;204.0
772;204.0
773;204.0
773;204.0
773;205.0
774;205.0
774;205.0
774;205.0
775;205.0
775;205.0
775;205.0
776;205.0
